station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPZO,2025-05-16 19:17:10.202162,290,6,9999.0,FEW060,,
SPJR,2025-05-16 19:17:10.700226,VRB,4,9999.0,FEW023;SCT070,,
SPQU,2025-05-16 19:42:58.574161,240,7,,,,
SPRU,2025-05-16 19:42:59.065174,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:42:59.500382,VRB,4,9999.0,FEW060,,
SPJR,2025-05-16 19:42:59.998373,VRB,5,9999.0,FEW023;SCT060,,
SPQU,2025-05-16 19:44:52.573167,240,7,,,,
SPRU,2025-05-16 19:44:53.067706,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:44:53.561768,VRB,4,9999.0,FEW060,,
SPJR,2025-05-16 19:44:53.998028,VRB,5,9999.0,FEW023;SCT060,,
SPQU,2025-05-16 19:47:02.739094,240,7,,,,
SPRU,2025-05-16 19:47:03.181368,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:47:03.604420,VRB,4,9999.0,FEW060,,
SPJR,2025-05-16 19:47:04.095453,VRB,5,9999.0,FEW023;SCT060,,
SPQU,2025-05-16 20:47:11.714863,250,8,,,,
SPRU,2025-05-16 20:47:12.205589,180,8,4500.0,BKN010,BR,
SPZO,2025-05-16 20:47:12.714303,280,10,9999.0,FEW060,,
SPJR,2025-05-16 20:47:13.153084,170,6,9999.0,SCT023;BKN050,,
SPQU,2025-05-16 21:08:04.939798,270,9,,,,
SPRU,2025-05-16 21:08:05.524173,170,8,5000.0,BKN010,BR,
SPZO,2025-05-16 21:08:05.961674,300,9,9999.0,,,
SPJR,2025-05-16 21:08:06.399687,140,5,9999.0,SCT023;BKN050,,
SPQU,2025-05-16 21:15:48.691703,270,9,,,,
SPRU,2025-05-16 21:15:49.172558,170,8,5000.0,BKN010,BR,
SPZO,2025-05-16 21:15:49.593057,300,9,9999.0,,,
SPJR,2025-05-16 21:15:50.030453,140,5,9999.0,SCT023;BKN050,,
SPQU,2025-05-16 22:15:57.689252,270,11,,,,
SPRU,2025-05-16 22:15:58.177900,150,8,4000.0,OVC003,BR,
SPZO,2025-05-16 22:15:58.673085,310,9,9999.0,,,
SPJR,2025-05-16 22:15:59.125217,VRB,4,9999.0,SCT023;BKN050,,
SPQU,2025-05-16 23:16:06.841182,270,7,,,,
SPRU,2025-05-16 23:16:07.336757,150,11,4000.0,OVC003,BR,
SPZO,2025-05-16 23:16:07.771036,300,6,9999.0,,,
SPJR,2025-05-16 23:16:08.209071,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 00:16:16.905049,290,6,,,,
SPRU,2025-05-17 00:16:17.392431,140,10,3000.0,OVC002,BR,
SPZO,2025-05-17 00:16:17.825388,270,6,9999.0,,,
SPJR,2025-05-17 00:16:18.319292,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 01:16:26.057201,060,7,,,,
SPRU,2025-05-17 01:16:26.546838,140,10,3000.0,OVC002,BR,
SPZO,2025-05-17 01:16:26.981862,VRB,2,9999.0,,,
SPJR,2025-05-17 01:16:27.546716,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 02:16:35.310267,040,5,,,,
SPRU,2025-05-17 02:16:35.761941,140,9,3000.0,OVC002,BR,
SPZO,2025-05-17 02:16:36.275321,070,3,9999.0,,,
SPJR,2025-05-17 02:16:36.862421,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 03:16:44.516258,020,4,,,,
SPRU,2025-05-17 03:16:45.022567,150,9,2500.0,OVC002,BR,
SPZO,2025-05-17 03:16:45.507085,VRB,1,9999.0,,,
SPJR,2025-05-17 03:16:46.175731,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 04:16:54.143462,050,6,,,,
SPRU,2025-05-17 04:16:54.586890,150,8,3000.0,OVC003,BR,
SPZO,2025-05-17 04:16:55.085712,100,2,9999.0,,,
SPJR,2025-05-17 04:16:55.630374,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 05:10:01.522909,340,4,,,,
SPRU,2025-05-17 05:10:01.993962,160,8,2500.0,BKN003,BR,
SPZO,2025-05-17 05:10:02.512094,VRB,1,9999.0,,,
SPJR,2025-05-17 05:10:03.097735,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 05:45:37.694211,340,4,,,,
SPRU,2025-05-17 05:45:38.192849,160,8,2500.0,BKN003,BR,
SPZO,2025-05-17 05:45:38.633974,000,0,9999.0,,,
SPJR,2025-05-17 05:45:39.682787,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-17 05:47:58.550809,340,4,,,,
SPRU,2025-05-17 05:47:59.025502,160,8,2500.0,BKN003,BR,
SPZO,2025-05-17 05:47:59.489005,000,0,9999.0,,,
SPJR,2025-05-17 05:48:00.124571,130,5,9999.0,FEW023;SCT050,,
SPQU,2025-05-18 05:10:41.730646,010,4,,,,
SPRU,2025-05-18 05:10:42.169344,160,11,3000.0,OVC002,BR,
SPZO,2025-05-18 05:10:42.653313,270,5,9999.0,,,
SPJR,2025-05-18 05:10:43.214827,140,9,8000.0,SCT020;BKN050,FG,BC
SPQU,2025-05-18 06:10:50.936545,010,4,,,,
SPRU,2025-05-18 06:10:51.404784,160,11,3000.0,OVC002,BR,
SPZO,2025-05-18 06:10:51.840871,270,5,9999.0,,,
SPJR,2025-05-18 06:10:52.399658,140,9,8000.0,SCT020;BKN050,FG,BC
SPQU,2025-06-06 03:58:52.072342,050,4,,,,
SPRU,2025-06-06 03:58:52.540640,160,7,5000.0,BKN010,BR,
SPZO,2025-06-06 03:58:52.975839,VRB,1,9999.0,,,
SPJR,2025-06-06 03:58:53.593486,050,6,9999.0,FEW025,,
SPQU,2025-06-07 03:03:44.895712,VRB,2,,,,
SPRU,2025-06-07 03:03:45.333047,140,9,6000.0,BKN020,,
SPZO,2025-06-07 03:03:45.821088,VRB,2,9999.0,,,
SPJR,2025-06-07 03:03:46.433806,060,4,9999.0,SCT020;OVC050,,
SPQU,2025-06-07 04:03:54.250758,040,6,,,,
SPRU,2025-06-07 04:03:54.743367,150,9,6000.0,SCT020,,
SPZO,2025-06-07 04:03:55.231176,280,3,9999.0,,,
SPJR,2025-06-07 04:03:55.734341,060,4,9999.0,SCT020;OVC050,,
SPQU,2025-06-09 00:19:24.853309,030,6,,,,
SPRU,2025-06-09 00:19:25.349171,150,7,5000.0,OVC018,BR,
SPZO,2025-06-09 00:19:25.800140,290,6,9999.0,,,
SPJR,2025-06-09 00:19:26.485860,160,3,9999.0,SCT020;BKN050,,
SPQU,2025-06-09 00:28:25.711121,030,6,,,,
SPRU,2025-06-09 00:28:26.216260,150,7,5000.0,OVC018,BR,
SPZO,2025-06-09 00:28:26.764501,290,6,9999.0,,,
SPJR,2025-06-09 00:28:27.360478,160,3,9999.0,SCT020;BKN050,,
SPQU,2025-06-09 02:44:21.145874,010,4,,,,
SPRU,2025-06-09 02:44:21.624418,140,6,4500.0,OVC016,BR,
SPZO,2025-06-09 02:44:22.134276,250,3,9999.0,,,
SPJR,2025-06-09 02:44:22.768094,160,3,9999.0,SCT020;BKN050,,
SPQU,2025-06-09 02:55:40.676579,010,4,,,,
SPRU,2025-06-09 02:55:41.166490,140,6,4500.0,OVC016,BR,
SPZO,2025-06-09 02:55:41.608626,250,3,9999.0,,,
SPJR,2025-06-09 02:55:42.131355,160,3,9999.0,SCT020;BKN050,,
SPQU,2025-06-09 03:02:22.974034,050,7,,,,
SPRU,2025-06-09 03:02:23.408515,150,7,4500.0,OVC016,BR,
SPZO,2025-06-09 03:02:23.842995,260,3,9999.0,,,
SPJR,2025-06-09 03:02:24.506672,160,3,9999.0,SCT020;BKN050,,
SPQU,2025-06-09 03:06:49.417004,050,7,,,,
SPRU,2025-06-09 03:06:49.835718,150,7,4500.0,OVC016,BR,
SPZO,2025-06-09 03:06:50.300340,260,3,9999.0,,,
SPJR,2025-06-09 03:06:50.888500,160,3,9999.0,SCT020;BKN050,,
SPQU,2025-06-09 04:07:07.655019,060,8,,,,
SPRU,2025-06-09 04:07:08.248292,150,8,4500.0,SCT018,BR,
SPZO,2025-06-09 04:07:08.684806,280,3,9999.0,,,
